"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logFC","group","genesymbol","adj.P.Val"
"GNL1",3476.00319575182,0.161812866640654,0.06348663434592,2.54877059254683,0.0108103385903886,0.142488493731364,0.112160132290292,"High vs Low","GNL1",0.142488493731364
"HLA.E",44256.3727141421,0.0688709408260913,0.0968730884154862,0.710939869395984,0.477121498341371,0.772348710413193,0.047737698456116,"High vs Low","HLA.E",0.772348710413193
"DPRX",0.265249529692978,-0.515600317200949,0.580922696029986,-0.88755409407233,0.374780656214758,NA,-0.357386906163652,"High vs Low","DPRX",NA
"TRIM39",760.399673773185,0.102224340939982,0.0541556108822703,1.8876038747344,0.0590791495261075,0.317769435040039,0.0708565137071473,"High vs Low","TRIM39",0.317769435040039
"ZNF468",1063.61512897983,-0.0205042189303149,0.0916893447458114,-0.22362706361528,0.823047503207124,0.940944436782967,-0.0142124415411317,"High vs Low","ZNF468",0.940944436782967
"TRIM15",63.2984902018343,-0.0117878959848962,0.390856984897397,-0.0301591027930348,0.975940164925688,0.993742955923058,-0.00817074686666478,"High vs Low","TRIM15",0.993742955923058
"ZNF616",548.408446697434,-0.0647478519743561,0.0616587623880145,-1.05009976630575,0.293672246170408,0.63468352655811,-0.0448797910433376,"High vs Low","ZNF616",0.63468352655811
"FOXB2",0.159484805889011,0.0402687421774157,1.0823407107924,0.0372052365543325,0.970321363338213,NA,0.0279121651049711,"High vs Low","FOXB2",NA
"TRIM10",16.331848956251,-0.192344950444304,0.351278723633272,-0.547556505713988,0.583996461293692,0.832407198621143,-0.133323360095412,"High vs Low","TRIM10",0.832407198621143
"TRIM40",3.73107708319009,-0.168315399428646,0.463868882259117,-0.362851240654305,0.716716012142363,0.897472043401924,-0.116667344558787,"High vs Low","TRIM40",0.897472043401924
"TRIM31",309.399456826036,0.467854902324913,0.241010310330458,1.94122360028258,0.0522311617188554,0.299594111351955,0.324292306457662,"High vs Low","TRIM31",0.299594111351955
"RNF39",484.763067019675,-0.243932238073299,0.171186546458123,-1.42494981714566,0.154171707727435,0.486827206132942,-0.169080943068185,"High vs Low","RNF39",0.486827206132942
"PPP1R11",4207.97529366541,0.0392760270549468,0.0603416598917059,0.650894044436874,0.515114886175199,0.795369603984366,0.0272240674167326,"High vs Low","PPP1R11",0.795369603984366
"PTCHD2",46.6103911661102,0.272835016723219,0.257290239124159,1.0604172845887,0.288954802168074,0.629597939322725,0.189114822599725,"High vs Low","PTCHD2",0.629597939322725
"GNB2L1",51788.3576040248,0.0235349813017904,0.0977866382094094,0.240676862736506,0.809805572776642,0.936281231175493,0.0163132059338671,"High vs Low","GNB2L1",0.936281231175493
"HLA.G",459.650685284132,0.643363134510579,0.177001222629622,3.63479486159723,0.000278201911344362,0.0202640484580429,0.445945342762216,"High vs Low","HLA.G",0.0202640484580429
"TBC1D8",1937.29176002762,0.215225913684536,0.122927803671789,1.75083184809172,0.0799748789249339,0.365827081730523,0.149183235253874,"High vs Low","TBC1D8",0.365827081730523
"HLA.F",5831.72763476584,0.238116772777512,0.137449047096303,1.73240031712025,0.0832023115723743,0.371335334494217,0.165049969694765,"High vs Low","HLA.F",0.371335334494217
"ZFP57",57.8587294244348,0.25161429091551,0.291475414360911,0.863243616849124,0.388003537156666,0.711826876096481,0.174405736336676,"High vs Low","ZFP57",0.711826876096481
"ASPDH",23.7198866616722,0.336852962732589,0.172914308463998,1.94809189433114,0.0514039685271118,0.297673619788067,0.233488681381359,"High vs Low","ASPDH",0.297673619788067
"MOG",1.18607936362809,-0.0184003143460041,0.315225097067112,-0.0583719840748804,0.953452330179868,0.986735784237814,-0.0127541260103494,"High vs Low","MOG",0.986735784237814
"OR2H2",1.85072576643341,0.46893033382417,0.3499749367065,1.33989690301003,0.180278865117995,0.51840556673346,0.325037738769258,"High vs Low","OR2H2",0.51840556673346
"CBY3",8.55836087343457,0.253636038069656,0.151903995018856,1.66971275533716,0.0949762088652943,0.395592400771593,0.175807104676377,"High vs Low","CBY3",0.395592400771593
"C5orf60",2.64390107094376,0.0691051739868711,0.195329586428121,0.353787540590022,0.723498111564803,0.90142785254179,0.0479000565111041,"High vs Low","C5orf60",0.90142785254179
"C9orf57",0.471173498677247,-0.217502318486642,0.501898678444926,-0.433359018120047,0.664753968409275,NA,-0.150761118824267,"High vs Low","C9orf57",NA
"IL31",0.103204095532429,-0.234464539368463,1.07082123919261,-0.21895768480017,0.826683010549491,NA,-0.162518434404536,"High vs Low","IL31",NA
"AKT1S1",2538.32872218199,0.0509381455431654,0.0765536207179965,0.665391722369452,0.50579997796845,0.790018446470357,0.0353076319661973,"High vs Low","AKT1S1",0.790018446470357
"FAM153C",11.2998719680498,0.54388577083296,0.261487971731261,2.07996477708706,0.0375287637096183,0.256825560178242,0.376992888599539,"High vs Low","FAM153C",0.256825560178242
"GABBR1",1352.26565314202,0.243082853350437,0.147572059973008,1.6472146109155,0.0995139416739854,0.401996961833692,0.168492194442322,"High vs Low","GABBR1",0.401996961833692
"CASC10",91.2033831291895,-0.155268924289966,0.160708066767365,-0.966155137157664,0.333966557914782,0.667528263268724,-0.107624217100166,"High vs Low","CASC10",0.667528263268724
"C10orf113",0.880762217744344,0.158764328478081,0.33533596344703,0.473448558413149,0.63589319327425,0.856086315796843,0.110047046658075,"High vs Low","C10orf113",0.856086315796843
"MAS1L",2.77496698003422,0.308498912317366,0.38488288526798,0.801539699803928,0.422819270651184,0.737029736234509,0.213835151278592,"High vs Low","MAS1L",0.737029736234509
"OR2H1",0.278134457121881,0.401937645792557,0.513080558509293,0.78338116525083,0.43340331314083,NA,0.278601945942013,"High vs Low","OR2H1",NA
"OR11A1",0.151334067891417,-0.206697643869702,0.978032777465718,-0.211340201097655,0.832621815344046,NA,-0.143271889076668,"High vs Low","OR11A1",NA
