"","logFC","logCPM","PValue","FDR","group","genesymbol","adj.P.Val"
"FAM216A",-0.0530851436691872,2.28777709612892,0.663125755871335,0.870780744917402,"High vs Low","FAM216A",0.870780744917402
"PLA2G4F",-0.092361247013528,4.19982695588039,0.663133174052011,0.870780744917402,"High vs Low","PLA2G4F",0.870780744917402
"SMTNL1",-0.0970917407684086,0.392864273116099,0.66314626978575,0.870780744917402,"High vs Low","SMTNL1",0.870780744917402
"AC002398.9",0.123205204672239,-3.50492647328014,0.663179255276188,0.870780744917402,"High vs Low","AC002398.9",0.870780744917402
"CD164L2",0.0808828488009909,2.20706586645815,0.663220050509544,0.870780744917402,"High vs Low","CD164L2",0.870780744917402
"TDRD1",0.144918812092315,1.54465300418676,0.663223581681399,0.870780744917402,"High vs Low","TDRD1",0.870780744917402
"FUT6",0.123095563936721,3.12079440307962,0.663328728500343,0.870780744917402,"High vs Low","FUT6",0.870780744917402
"RGS8",-0.108810846853857,-2.5943734842379,0.663344009326306,0.870780744917402,"High vs Low","RGS8",0.870780744917402
"MAD2L1BP",-0.0325142831571037,4.76733063816378,0.66344247362199,0.870780744917402,"High vs Low","MAD2L1BP",0.870780744917402
"SGSM3",0.0378794816807366,6.35077262341549,0.663505481210602,0.870780744917402,"High vs Low","SGSM3",0.870780744917402
"CPNE2",0.0399801359495378,6.04679003181396,0.663530060527335,0.870780744917402,"High vs Low","CPNE2",0.870780744917402
"CLDN4",-0.0497181689513449,8.98157488146205,0.663594815115526,0.870780744917402,"High vs Low","CLDN4",0.870780744917402
"PNRC1",-0.0315899884124927,6.70628473808138,0.6636390693784,0.870780744917402,"High vs Low","PNRC1",0.870780744917402
"GRID2",0.164025699466672,-2.68238257928075,0.663664556738192,0.870780744917402,"High vs Low","GRID2",0.870780744917402
"CDK18",0.0504963287640515,5.38581840530085,0.663719691396532,0.870780744917402,"High vs Low","CDK18",0.870780744917402
"CH507.9B2.5",-0.0589272651936308,1.99934136350605,0.663804456756272,0.870780744917402,"High vs Low","CH507.9B2.5",0.870780744917402
"CS",0.0304413088008979,7.4843151805147,0.663907930480701,0.870780744917402,"High vs Low","CS",0.870780744917402
"ARFGEF1",0.0382694473523491,6.67663880669512,0.66392447579638,0.870780744917402,"High vs Low","ARFGEF1",0.870780744917402
"MGMT",0.0524550618723323,4.86185548689831,0.663976372195795,0.870780744917402,"High vs Low","MGMT",0.870780744917402
"NSUN7",-0.0448298138976284,3.71607388323702,0.66409799007666,0.870780744917402,"High vs Low","NSUN7",0.870780744917402
"ZFAND3",0.0260999081781366,6.56995594268458,0.664170049748089,0.870780744917402,"High vs Low","ZFAND3",0.870780744917402
"TRPC4AP",0.0228759626155247,7.13180305298692,0.66420846661209,0.870780744917402,"High vs Low","TRPC4AP",0.870780744917402
"NR1D1",0.0566637230527394,4.70264084901422,0.66421887531287,0.870780744917402,"High vs Low","NR1D1",0.870780744917402
"ZNF98",-0.171739445745212,-1.54214635281213,0.66423655115887,0.870780744917402,"High vs Low","ZNF98",0.870780744917402
"FAM120AOS",-0.0293281037404633,5.69168301377776,0.664239558342203,0.870780744917402,"High vs Low","FAM120AOS",0.870780744917402
