"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logFC","group","genesymbol","adj.P.Val"
"CCNY",4983.25690576347,0.00408289886578812,0.0734744240916587,0.0555689808564507,0.955685175997985,0.986445798935715,0.00283004983733253,"High vs Low","CCNY",0.986445798935715
"UBE2S",953.147251789591,0.378640125955264,0.142433618326594,2.65836205246895,0.00785214886202171,0.13576208189751,0.262453335752754,"High vs Low","UBE2S",0.13576208189751
"RPL28",32619.4825907937,0.150776000208007,0.0959624446543213,1.57119799053825,0.116136666705784,0.447687720306654,0.104509959440286,"High vs Low","RPL28",0.447687720306654
"ZMIZ1",5226.36466439397,0.00622629869739673,0.08697237606204,0.0715893825064102,0.942928689927319,0.982895733091533,0.00431574138742451,"High vs Low","ZMIZ1",0.982895733091533
"DNAJC12",1439.10678956059,-0.217788876326472,0.258155418170257,-0.843634729304182,0.398873551208196,0.732490559606469,-0.150959745583013,"High vs Low","DNAJC12",0.732490559606469
"PPIF",3232.53068298427,0.0193786366844018,0.0908039731430037,0.213411770582804,0.831005800376256,0.94493485534135,0.0134322473808885,"High vs Low","PPIF",0.94493485534135
"PBLD",645.821507294256,0.00076666884902479,0.160450528319929,0.00477822576873101,0.996187541938424,0.999016281928569,0.0005314143511246,"High vs Low","PBLD",0.999016281928569
"TSPAN14",6340.09194934358,-0.042714874558485,0.0573434385760327,-0.744895590832918,0.456334840820723,0.767049320191657,-0.0296076948681856,"High vs Low","TSPAN14",0.767049320191657
"LGI1",1.39669770504325,-0.153601026158904,0.423963296291888,-0.36229793357667,0.71712940220638,0.902482373564884,-0.106468118213159,"High vs Low","LGI1",0.902482373564884
"TBC1D12",598.506910828332,-0.0814917453958524,0.0626536041127094,-1.30067131093136,0.193370986338321,0.555223428872106,-0.056485773560044,"High vs Low","TBC1D12",0.555223428872106
"CYP2C18",151.206208111085,-0.224969972362404,0.26533823285014,-0.8478611240675,0.396515317322095,0.730948125080898,-0.155937302053649,"High vs Low","CYP2C18",0.730948125080898
"KRT23",143.556080997556,-0.628821671058667,0.307708220176322,-2.04356474681873,0.0409965649221557,0.290912972787664,-0.435865968369308,"High vs Low","KRT23",0.290912972787664
"CRYBA1",2.43363142639095,-0.106999922028096,0.168409347349274,-0.63535619436956,0.52519613126778,0.806970707624849,-0.074166694273909,"High vs Low","CRYBA1",0.806970707624849
"NUFIP2",6222.50560277044,-0.0728330708737921,0.0583116149188333,-1.24903196344625,0.211653383296462,0.573462416021501,-0.0504840377276918,"High vs Low","NUFIP2",0.573462416021501
"GIT1",4053.85651681706,0.177219701913622,0.0757222857746744,2.34039028405682,0.0192635974946814,0.210116431723143,0.122839336721101,"High vs Low","GIT1",0.210116431723143
"RPL19",51473.4303905578,0.020196357927562,0.0883602955682464,0.228568247737051,0.819204505901981,0.940388104699534,0.013999048555069,"High vs Low","RPL19",0.940388104699534
"FBXL20",1892.30717007774,-0.0727635280892273,0.0814540159429282,-0.893308049295077,0.371692228602433,0.712004309609993,-0.0504358343426423,"High vs Low","FBXL20",0.712004309609993
"RUNDC3A",83.8989782953881,0.49996897637012,0.217009194528317,2.30390688033672,0.0212278714014781,0.216906987948511,0.34655208633839,"High vs Low","RUNDC3A",0.216906987948511
"UBTF",6039.87570107557,0.0812901834106272,0.04735490072832,1.71661606634966,0.0860493449805461,0.391359901226352,0.0563460614382771,"High vs Low","UBTF",0.391359901226352
"CSF3",149.883526120431,1.13335523119995,0.298328154453715,3.79902203087504,0.000145268180288423,0.0151029843775535,0.785581983079113,"High vs Low","CSF3",0.0151029843775535
"PSMD3",7923.05321905231,-0.0498335895641597,0.080812774643768,-0.616654851709175,0.537462406547352,0.813734916837829,-0.0345420121035788,"High vs Low","PSMD3",0.813734916837829
"CASC3",5152.36170402816,-0.0251681680381425,0.0647198297473282,-0.388878773884313,0.697365824723867,0.892346829618793,-0.0174452447154974,"High vs Low","CASC3",0.892346829618793
"RAPGEFL1",703.883285328917,-0.0149162973003029,0.146314387861035,-0.101946893387341,0.918798828293579,0.975876306663322,-0.0103391894180989,"High vs Low","RAPGEFL1",0.975876306663322
"RGS9",75.9649554650636,0.0575719945774407,0.142486559360605,0.404052107341139,0.686174402088045,0.887313125323225,0.0399058657205655,"High vs Low","RGS9",0.887313125323225
"RNF43",2086.88541312582,-0.453339304844614,0.130956710297127,-3.46174933545623,0.000536676747058691,0.0348878357039551,-0.31423086099005,"High vs Low","RNF43",0.0348878357039551
